"Eigenpublikation","Verlagspublikation","Sonstiges"
N/A,N/A,
Nein,Ja,
Nein,Ja,
Nein,Ja,
Nein,Ja,
Ja,Ja,
Nein,Ja,
Nein,Ja,
Nein,Nein,Zeitschriftenpublikation
Nein,Ja,online über Hochschulseiten (repositories oder Projektportale)) 
Nein,Nein,Datenbank
Nein,Nein,Onlinepublikationen
Ja,Nein,
Nein,Nein,
Nein,Ja,
N/A,N/A,
Ja,Ja,Blog
Nein,Ja,
Nein,Ja,
Nein,Nein,
N/A,N/A,
Nein,Nein,
Nein,Ja,
N/A,N/A,
Nein,Nein,
Nein,Nein,
Nein,Ja,
N/A,N/A,
Nein,Ja,
Nein,Nein,
Ja,Ja,
N/A,N/A,
Nein,Nein,
N/A,N/A,
Nein,Ja,
Nein,Nein,Online
Nein,Ja,
Nein,Ja,
Ja,Nein,
N/A,N/A,
Nein,Ja,
Nein,Ja,
Nein,Nein,
Ja,Nein,
Nein,Ja,
Nein,Ja,unabh. online-journal
Nein,Ja,
Nein,Ja,
Nein,Ja,
Nein,Nein,
Nein,Ja,
Nein,Nein,"Online (Blog, epub)"
Ja,Ja,
Nein,Ja,Kongressakten
Nein,Ja,
Nein,Ja,
Nein,Ja,
Nein,Nein,
Ja,Nein,
Nein,Nein,Ist alles noch in Arbeit
Nein,Ja,
Nein,Ja,
N/A,N/A,
Nein,Nein,
Nein,Ja,
Ja,Nein,
Nein,Ja,
Nein,Ja,
Nein,Nein,
Nein,Ja,
Nein,Ja,
Nein,Ja,
Nein,Ja,
Nein,Ja,
Nein,Nein,
N/A,N/A,
Ja,Ja,
Ja,Ja,
Nein,Ja,
Nein,Ja,
N/A,N/A,
Ja,Ja,Webseite
N/A,N/A,
Ja,Nein,
Nein,Ja,
Nein,Ja,
Nein,Ja,
Ja,Nein,
Ja,Ja,
Ja,Nein,
Nein,Ja,
Nein,Nein,
Nein,Ja,
N/A,N/A,
Nein,Ja,
Nein,Ja,
Nein,Ja,
Nein,Ja,
Nein,Nein,
Nein,Ja,
Nein,Ja,Vom Lehrstuhl
Nein,Ja,
Nein,Ja,
