"Social Media","eigene Website","Email/Mailinglisten","Konferenzen","Sonstiges"
N/A,N/A,N/A,N/A,
Nein,Nein,Nein,Nein,gar nicht
Ja,Ja,Nein,Ja,
Nein,Ja,Nein,Nein,
Ja,Ja,Nein,Nein,
Ja,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Verlag
Ja,Ja,Nein,Ja,Buchhandel
Nein,Nein,Ja,Nein,
Nein,Ja,Ja,Nein,Onlinebibliographien wiss. Verbände oder staatl. Organismen
Nein,Ja,Nein,Nein,
Nein,Ja,Ja,Ja,
Nein,Ja,Ja,Nein,
Ja,Ja,Ja,Ja,
Ja,Ja,Nein,Nein,
N/A,N/A,N/A,N/A,
Ja,Ja,Ja,Nein,Verlagswerbung
Nein,Nein,Ja,Nein,
Ja,Nein,Nein,Ja,
Nein,Nein,Nein,Nein,
N/A,N/A,N/A,N/A,
Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Ja,
N/A,N/A,N/A,N/A,
Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Ja,
N/A,N/A,N/A,N/A,
Nein,Nein,Ja,Nein,Werbung durch den verlag
Nein,Nein,Nein,Nein,
Ja,Ja,Ja,Ja,
N/A,N/A,N/A,N/A,
Nein,Nein,Nein,Nein,
N/A,N/A,N/A,N/A,
Ja,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Online zeitschriften
Ja,Ja,Ja,Nein,
Nein,Nein,Ja,Ja,
Ja,Nein,Nein,Nein,
N/A,N/A,N/A,N/A,
Nein,Ja,Nein,Ja,
Ja,Nein,Ja,Ja,Verlag
Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Ja,Buchhandel
Nein,Ja,Ja,Ja,Instituts-/Verbandswebsites
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Ja,
Nein,Ja,Nein,Nein,
Nein,Nein,Nein,Nein,
Nein,Ja,Ja,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Nein,Ja,
Ja,Ja,Nein,Ja,
Nein,Nein,Nein,Ja,
Nein,Nein,Nein,Nein,
Ja,Ja,Ja,Ja,
Nein,Nein,Nein,Nein,
Ja,Ja,Nein,Nein,
Nein,Ja,Nein,Ja,
Nein,Nein,Nein,Nein,Verbreitung wird von der Abt. Öffentlichkeitsarbeit übernommen
Nein,Nein,Ja,Ja,
N/A,N/A,N/A,N/A,
Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,
Ja,Nein,Nein,Nein,
Ja,Ja,Nein,Ja,
Ja,Nein,Ja,Nein,
Nein,Nein,Ja,Ja,Sonderdrucke per Post
Ja,Nein,Nein,Ja,
Nein,Nein,Nein,Nein,Buchhandel
Nein,Ja,Ja,Ja,persönliche Kontakte
Ja,Nein,Nein,Ja,
Ja,Ja,Ja,Nein,
Nein,Nein,Ja,Ja,
N/A,N/A,N/A,N/A,
Ja,Nein,Nein,Ja,
Nein,Ja,Nein,Ja,
Nein,Ja,Ja,Ja,VerlagsPR
Nein,Ja,Nein,Nein,
N/A,N/A,N/A,N/A,
Ja,Ja,Nein,Nein,
N/A,N/A,N/A,N/A,
Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Ja,
Nein,Nein,Nein,Ja,
Nein,Nein,Nein,Ja,
Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Verlagswerbung
Nein,Ja,Ja,Ja,
Nein,Nein,Nein,Nein,Über den Verlag
Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Ja,
N/A,N/A,N/A,N/A,
Ja,Nein,Ja,Nein,
Nein,Nein,Nein,Nein,Digitale Plattform der universität
Nein,Ja,Nein,Ja,
Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Ja,Rezeption durch Kollegen 
Nein,Nein,Ja,Ja,Literaturverzeichnis anderer Publikation 
Nein,Nein,Nein,Ja,
Ja,Ja,Ja,Ja,
