"Ich teile oder bespreche meine Arbeitsergebnisse nicht.","Mit meinen Arbeitskollegen","Mit meiner Forschungsgruppe","Mit Angehörigen meiner Institution","In sozialen oder wissenschaftlichen Netzwerken","Öffentlich, z.B. auf einem Blog oder in einem Wiki","Sonstiges"
Nein,Ja,Ja,Ja,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,mit Freunden
Nein,Ja,Ja,Nein,Nein,Nein,
Nein,Ja,Ja,Ja,Nein,Nein,
Nein,Nein,Nein,Nein,Ja,Ja,
Nein,Nein,Nein,Nein,Nein,Ja,Professoren
Nein,Ja,Nein,Ja,Ja,Nein,
Nein,Ja,Nein,Nein,Nein,Ja,mit anderen Wissenschaftlern/Studierenden
Nein,Nein,Nein,Ja,Nein,Nein,mit nahen Angehörigen
Nein,Ja,Ja,Ja,Nein,Nein,Freunde
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Ja,Ja,Ja,Nein,Nein,
Nein,Ja,Nein,Ja,Nein,Nein,
Nein,Ja,Ja,Ja,Ja,Ja,
Nein,Ja,Ja,Ja,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Ja,Nein,"Familie, Freunde"
Nein,Ja,Ja,Ja,Nein,Nein,
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Ja,Nein,Nein,
Nein,Ja,Ja,Ja,Nein,Nein,
Nein,Ja,Ja,Ja,Nein,Nein,
Nein,Nein,Nein,Nein,Ja,Nein,
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Ja,Ja,Ja,Nein,Nein,
Nein,Ja,Ja,Ja,Nein,Nein,
Nein,Ja,Nein,Ja,Nein,Nein,
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Ja,Nein,Ja,Nein,Nein,
Nein,Nein,Nein,Ja,Ja,Ja,
Nein,Nein,Ja,Ja,Ja,Ja,
Nein,Ja,Nein,Ja,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Ja,Ja,Ja,Nein,
Nein,Ja,Nein,Ja,Ja,Ja,
Nein,Ja,Ja,Ja,Nein,Nein,
Nein,Ja,Nein,Ja,Nein,Nein,
Nein,Nein,Ja,Nein,Ja,Nein,
Nein,Ja,Ja,Ja,Ja,Nein,
Nein,Ja,Ja,Ja,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Nein,Ja,Ja,Nein,Nein,
Nein,Ja,Nein,Ja,Nein,Nein,Konferenzen
Nein,Ja,Nein,Ja,Nein,Nein,"Kolloquia, Konferenzen"
Nein,Ja,Nein,Ja,Ja,Nein,
Nein,Ja,Ja,Ja,Ja,Nein,
Nein,Ja,Nein,Ja,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Ja,Ja,Nein,Nein,Nein,
