"Ich lege die Dateien nach Projekten geordnet ab.","Ich versehe Dateien mit Schlagworten und/oder farbigen Markierungen.","Ich verwende die Desktopsuche zum Wiederfinden.","Ich lege die Dateien mit Datum, Projektnamen, etc. im Dateinamen ab.","Sonstiges"
Ja,Ja,Ja,Nein,
Ja,Nein,Nein,Nein,"Datenbank für Exzerpte (Dokumente), Schlagworte für Dateien"
Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Ja,
Ja,Ja,Ja,Nein,
Ja,Nein,Ja,Ja,redundanter externer Festplattenspeicher
Ja,Ja,Ja,Ja,Datenbank
Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,
Ja,Ja,Nein,Ja,
Nein,Nein,Ja,Ja,
Ja,Ja,Nein,Ja,
Ja,Ja,Ja,Ja,
Ja,Nein,Nein,Nein,
Ja,Ja,Ja,Nein,
Ja,Nein,Ja,Ja,
Ja,Nein,Nein,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Ja,Nein,
Ja,Nein,Nein,Ja,
Ja,Ja,Ja,Ja,
Ja,Ja,Nein,Ja,
Ja,Nein,Ja,Ja,
Ja,Nein,Nein,Ja,
Ja,Ja,Ja,Ja,
Ja,Ja,Nein,Ja,
Ja,Ja,Ja,Nein,
Nein,Nein,Nein,Ja,
Ja,Nein,Nein,Ja,
Ja,Nein,Ja,Nein,
Ja,Ja,Ja,Ja,
Ja,Nein,Nein,Nein,
Ja,Ja,Nein,Nein,
Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Ja,
Nein,Nein,Nein,Ja,
Ja,Ja,Nein,Ja,
Ja,Nein,Nein,Ja,
Ja,Ja,Ja,Ja,
Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Ja,Ausdrucke
Ja,Nein,Nein,Nein,Eintrag in Datenbank(en)
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Nein,
Ja,Ja,Nein,Nein,
Ja,Nein,Ja,Nein,
Ja,Nein,Nein,Ja,
Ja,Ja,Ja,Nein,
Ja,Ja,Ja,Ja,
Ja,Nein,Nein,Ja,Institutionelles Datenrepositpory
Ja,Nein,Nein,Ja,
Ja,Nein,Ja,Ja,
Ja,Ja,Ja,Ja,
Ja,Nein,Ja,Ja,
Nein,Nein,Ja,Nein,
Ja,Nein,Nein,Ja,
Ja,Nein,Nein,Ja,Ich lasse die Daten auf einem separaten Server im hauseigenen Archiv archivieren.
Ja,Nein,Nein,Ja,
Ja,Nein,Nein,Ja,
Ja,Nein,Nein,Ja,Eingabe in unsere Datenbank
Ja,Nein,Ja,Ja,
Ja,Nein,Ja,Ja,
Ja,Nein,Nein,Ja,
Ja,Nein,Nein,Ja,
Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,
Ja,Ja,Ja,Nein,
Ja,Nein,Ja,Ja,
Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Ja,
Ja,Nein,Nein,Ja,
Nein,Nein,Nein,Nein,
Ja,Ja,Nein,Ja,
Ja,Nein,Nein,Ja,
Ja,Nein,Nein,Ja,
Ja,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Ja,
Ja,Nein,Nein,Ja,
Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,
Ja,Nein,Ja,Ja,
Nein,Nein,Nein,Ja,
Ja,Ja,Ja,Nein,
Ja,Nein,Nein,Ja,
Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Ja,
N/A,N/A,N/A,N/A,
Nein,Nein,Nein,Ja,
Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,
Nein,Nein,Nein,Nein,
Ja,Ja,Nein,Nein,
Ja,Nein,Nein,Ja,
Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Ja,
