"Persönliche Beratung","Telefonische Beratung","Persönliche Online-Beratung","Dynamische Online-Hilfe/FAQ oder Wiki","Gedruckte und detaillierte Leitfäden / Dokumentationen","Sonstiges"
persoenlich,telephon,online,faq,druck,other
Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Ja,Ja,Ja,
Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Ja,Nein,
Nein,Nein,Ja,Ja,Ja,
Nein,Nein,Nein,Nein,Nein,online Wiki
Nein,Nein,Ja,Ja,Nein,"vollständige Hilfetexte (diese sollten existieren, bevor die Software an Nutzer weitergegeben wird - ja, auch bereits in der beta-Phase!)"
Nein,Nein,Ja,Ja,Nein,
Nein,Nein,Nein,Ja,Ja,
Ja,Nein,Nein,Nein,Ja,
Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Nein,Ja,
Ja,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Nein,Nein,
Ja,Nein,Ja,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,
Ja,Ja,Ja,Ja,Ja,
Nein,Nein,Nein,Nein,Ja,
Nein,Nein,Ja,Ja,Nein,
Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Ja,Ja,Nein,
Nein,Nein,Nein,Ja,Ja,
Ja,Nein,Nein,Nein,Ja,
Nein,Nein,Nein,Ja,Ja,
Ja,Ja,Nein,Nein,Nein,
Nein,Nein,Ja,Ja,Nein,
Ja,Ja,Ja,Ja,Ja,Online- bzw. Videotutorials
Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Ja,Ja,Nein,
Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,
Ja,Nein,Nein,Ja,Ja,
Nein,Nein,Nein,Ja,Ja,
Nein,Ja,Ja,Ja,Ja,
Nein,Nein,Nein,Nein,Ja,
Nein,Nein,Ja,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Ja,Ja,
Nein,Nein,Nein,Ja,Nein,
Ja,Nein,Nein,Ja,Nein,
Ja,Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Ja,Ja,
Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Ja,Ja,
Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Ja,Nein,Nein,
Nein,Nein,Nein,Ja,Ja,
Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Ja,Ja,
Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Ja,
Nein,Nein,Nein,Ja,Ja,Regelmäßige Fortbildungen
Nein,Nein,Ja,Nein,Ja,
Nein,Nein,Nein,Ja,Nein,Video-Tutorials
Ja,Ja,Nein,Nein,Nein,Schulungen
Ja,Nein,Nein,Ja,Ja,
Nein,Ja,Nein,Ja,Ja,
Nein,Nein,Ja,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Stack Overflow
Nein,Nein,Nein,Nein,Ja,
Nein,Nein,Nein,Ja,Ja,
Nein,Nein,Nein,Ja,Ja,
Nein,Nein,Nein,Nein,Ja,"Menüs und Handbücher, die nicht von Ingenieuren, sondern von Nutzern für Nutzern geschrieben sind. "
Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,
Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Ja,Nein,Ja,
Nein,Nein,Nein,Ja,Ja,
Nein,Ja,Nein,Ja,Ja,
Nein,Nein,Nein,Ja,Ja,
Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Ja,Nein,
Ja,Nein,Ja,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,
Ja,Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Nein,Nein,
Ja,Ja,Ja,Ja,Ja,
Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Ja,Nein,
N/A,N/A,N/A,N/A,N/A,
Nein,Nein,Nein,Ja,Nein,
Ja,Nein,Ja,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Internetforen
Ja,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Ja,Nein,
