"Nicht digital","(Stationärer) Arbeitsrechner","Speicherangebot meiner Institution","Forschungsinfrastruktur (institutionsübergreifend)","Cloud-Services (z. B. Dropbox)","Social Services (z. B. Mendeley, Zotero)","Sonstiges"
Nein,Ja,Nein,Nein,Ja,Nein,"Eigener Server, redundante USB-Stick-Kopien an verschiedenen Standorten"
Nein,Ja,Nein,Nein,Nein,Nein,"USB-Stick, Festplatte, privates Wiki"
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Ja,Ja,Ja,Nein,Ja,
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Nein,Ja,Ja,
Nein,Ja,Ja,Nein,Nein,Nein,redundanter externer Festplattenspeicher
Ja,Nein,Nein,Ja,Ja,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Ja,Ja,Nein,Nein,
Nein,Ja,Ja,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Ja,Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Ja,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,Festplatten und USB-Sticks zur Sicherung
Ja,Ja,Nein,Nein,Ja,Nein,
Ja,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Ja,Nein,
Ja,Ja,Nein,Nein,Ja,Nein,
Nein,Ja,Nein,Nein,Ja,Nein,
Ja,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Nein,Ja,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Ja,Nein,Ja,Nein,
Ja,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Ja,Ja,
Nein,Ja,Ja,Nein,Ja,Nein,
Nein,Nein,Nein,Nein,Ja,Nein,
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,Festplatte
Nein,Ja,Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Ja,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Ja,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,"Mobiler Arbeitsrechner, Backups"
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Ja,Nein,Nein,Ja,Nein,
Ja,Nein,Ja,Nein,Ja,Nein,
Ja,Nein,Nein,Nein,Ja,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Ja,Ja,
Ja,Ja,Nein,Nein,Ja,Ja,
Nein,Nein,Ja,Nein,Ja,Ja,
Nein,Ja,Ja,Nein,Nein,Nein,
Ja,Ja,Nein,Nein,Ja,Nein,
Ja,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Ja,Nein,
Ja,Nein,Ja,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,Externe Festplatte
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Ja,Ja,Nein,Ja,Nein,
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Ja,Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Ja,Nein,
Nein,Ja,Ja,Nein,Nein,Nein,
Nein,Ja,Ja,Nein,Nein,Nein,Externe Festplatten
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Ja,Ja,Nein,Ja,Nein,
Ja,Nein,Ja,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,
Ja,Ja,Ja,Nein,Nein,Nein,
Nein,Ja,Ja,Nein,Ja,Nein,
Nein,Ja,Ja,Nein,Nein,Nein,
Nein,Ja,Ja,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,externe Festplatte
Nein,Ja,Nein,Nein,Ja,Ja,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Ja,Ja,
Nein,Ja,Nein,Nein,Ja,Nein,
Ja,Ja,Ja,Ja,Ja,Nein,
Nein,Ja,Nein,Nein,Ja,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,
N/A,N/A,N/A,N/A,N/A,N/A,
Ja,Ja,Nein,Nein,Ja,Nein,
Ja,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,Speichermedien (kopieren)
Nein,Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,Externe Festplatte 
Ja,Ja,Nein,Nein,Nein,Nein,Externes Laufwerk 
