planung_ist,planung_soll,recherche_ist,recherche_soll,ueberarbeitung_ist,ueberarbeitung_soll,analyse_ist,analyse_soll,publizieren_ist,publizieren_soll
Laptop,,Laptop,,Tablet,,Tablet,,Laptop,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
Laptop,Tablet,PC,Tablet,Laptop,Tablet,PC,Tablet,PC,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
PC,Tablet,PC,Tablet,PC,Tablet,PC,,PC,
PC,,PC,,PC,,PC,,PC,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
PC,,PC,,PC,,PC,,PC,
PC,,Laptop,,PC,,PC,,PC,
PC,Laptop,PC,Laptop,PC,Laptop,PC,Laptop,PC,Laptop
,,,,,,,,,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
PC,,PC,,PC,,PC,,PC,
PC,,PC,,PC,,PC,,PC,
PC,,PC,,PC,,PC,,,
PC,,PC,,PC,,PC,,PC,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
PC,,PC,,PC,,PC,,,
PC,,PC,,PC,,PC,,,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
Laptop,PC,PC,Laptop,,,,,,
Laptop,PC,Smartphone,,Laptop,PC,Laptop,Laptop,Laptop,Laptop
Laptop,,Laptop,,Laptop,,Laptop,,,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
,,,,,,,,,
,,,,,,,,,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
Laptop,,PC,,PC,,PC,,PC,
Laptop,Tablet,Laptop,Tablet,Laptop,Tablet,Laptop,Tablet,Laptop,Tablet
Laptop,Tablet,PC,,Laptop,PC,PC,Laptop,PC,
Laptop,Smartphone,Laptop,Smartphone,Laptop,,Laptop,,,
,,,,,,,,,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
PC,Tablet,PC,Tablet,PC,,PC,,PC,
,,,,,,,,,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
,,,PC,,PC,,PC,,
Laptop,Laptop,Laptop,Laptop,Laptop,Laptop,Laptop,Laptop,Laptop,Laptop
PC,,Laptop,,PC,,PC,,PC,
PC,,Laptop,,PC,,PC,,PC,
PC,Tablet,PC,Tablet,PC,Tablet,PC,Tablet,PC,Tablet
PC,,Laptop,,PC,,PC,,PC,
PC,,Laptop,,PC,,PC,,PC,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
PC,,PC,,PC,,PC,,,
Laptop,,Laptop,Tablet,Laptop,,Laptop,,Laptop,
Laptop,Tablet,Laptop,Tablet,Laptop,Tablet,Laptop,Tablet,Laptop,Tablet
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
PC,,PC,,PC,,PC,,PC,
PC,,PC,,PC,,PC,,PC,
PC,,PC,,PC,,PC,,PC,
PC,Tablet,PC,Tablet,PC,,PC,,PC,
PC,,PC,Laptop,PC,,PC,,PC,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
PC,Laptop,PC,Laptop,PC,Laptop,PC,Laptop,PC,Laptop
PC,,PC,,PC,,PC,,,
Laptop,PC,Laptop,PC,Laptop,PC,Laptop,PC,PC,Laptop
PC,,PC,,PC,,PC,,PC,
PC,,PC,Tablet,PC,Tablet,PC,,PC,
Laptop,Tablet,Laptop,Tablet,Laptop,,Laptop,,Laptop,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
PC,,PC,,PC,,PC,,PC,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
PC,,PC,,PC,,Laptop,PC,Laptop,
Tablet,,PC,Tablet,Tablet,,PC,Tablet,PC,
PC,,PC,,PC,,PC,,PC,
,,,,,,,,,
PC,,Laptop,,PC,,PC,,PC,
,,,,,,,,,
PC,,PC,,PC,,PC,,PC,
PC,,PC,Laptop,PC,,PC,,PC,
,,,,,,,,,
PC,Tablet,PC,Tablet,PC,Tablet,PC,Tablet,PC,Tablet
,,,,,,,,,
Laptop,,Laptop,,Laptop,,,,,
Laptop,,Laptop,,Laptop,PC,Laptop,,Laptop,
PC,,PC,,PC,,PC,,PC,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
PC,,PC,,PC,,PC,,PC,
PC,,PC,,PC,,PC,,PC,
Laptop,Tablet,Smartphone,Tablet,Tablet,Tablet,Tablet,Tablet,Laptop,Tablet
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
Laptop,,Laptop,,Laptop,,Laptop,,,
Laptop,Tablet,Laptop,Tablet,Laptop,,Laptop,,Laptop,
,,,,,,,,,
Laptop,Tablet,Laptop,Tablet,Laptop,,Laptop,,Laptop,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
PC,,PC,Smartphone,PC,Smartphone,PC,,PC,
,,,,,,,,,
PC,,PC,,PC,,PC,,PC,
Laptop,,Laptop,,Laptop,,Laptop,,Laptop,
PC,,PC,,PC,,PC,,PC,
PC,,PC,,PC,,Tablet,,PC,
