"Student/in","wissenschaftliche/r Mitarbeiter/in","Postdoc","Doktorand/in","Professor/in","Unabhängige/r Forscher/in","Sonstiges"
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Ja,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Ja,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Ja,
Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,Schueler
Nein,Nein,Nein,Nein,Nein,Nein,Schüler
Ja,Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Ja,
Nein,Nein,Nein,Nein,Nein,Ja,
Nein,Nein,Nein,Nein,Nein,Ja,
Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Ja,
Nein,Ja,Nein,Nein,Nein,Ja,
Nein,Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,Mitarbeiter
Ja,Ja,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Ja,
Nein,Ja,Ja,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Ja,Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Ja,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,Ja,
Nein,Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Ja,Nein,Nein,Ja,Ja,Nein,
Nein,Nein,Nein,Nein,Ja,Nein,
Ja,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Nein,Ja,Ja,
Nein,Nein,Nein,Ja,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
N/A,N/A,N/A,N/A,N/A,N/A,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Ja,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Ja,Nein,Nein,
