"Universität / Hochschule","Außeruniversitäres Forschungsinstitut","Bibliothek","Museum","Archiv","Unternehmen","Selbstständig","Sonstiges"
Ja,Nein,Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,Nein,'arbeitslos'
Ja,Nein,Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,Nein,in Nebentätigkeit
Ja,Nein,Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Ja,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,Nein,Stiftung
Nein,Ja,Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,Ja,
Nein,Nein,Nein,Nein,Nein,Nein,Nein,derzeit ohne Anstellung
Nein,Nein,Nein,Nein,Ja,Nein,Nein,
Ja,Nein,Ja,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Ja,Nein,Ja,Nein,Ja,
Ja,Nein,Nein,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,Nein,Gar nicht
Nein,Nein,Nein,Nein,Nein,Nein,Nein,Schule
Ja,Nein,Nein,Nein,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Ja,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,Nein,Stiftung
Ja,Ja,Nein,Ja,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,Nein,Max Weber Stiftung
Ja,Ja,Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,Nein,Max weber Stiftung
Nein,Nein,Ja,Nein,Nein,Nein,Nein,zu Hause
Nein,Nein,Nein,Nein,Nein,Nein,Ja,
Ja,Nein,Nein,Nein,Nein,Nein,Nein,
Nein,Nein,Nein,Nein,Nein,Nein,Ja,
Nein,Nein,Nein,Nein,Nein,Nein,Ja,
Nein,Nein,Nein,Ja,Nein,Nein,Nein,
Nein,Ja,Nein,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,Nein,
Ja,Nein,Nein,Nein,Nein,Nein,Nein,
